annual_review_year	match_text
1988	from other Indian aided hydroelectric projects, cooperation also extends to the completion of a cement project in Eastern Bhutan which is estimated to cost over Rs. 140 crores. India continued to assist Bhutan in fields such as education, civil aviatio n, defence, customs, medicine and engineering. To strengthen bilateral cultural relations, the two.
1988	context of I ndia's dialogue on the Afghan problem with different shades of opinion. India, maintained good bilateral relations with Afghanistan. It pledged assistance worth Rs. 10 crores for the relief and rehabilitation of the Afghan refugees. Amid-term review meeting of the Indo-Afghan Joint Commission on Economic, Technical, Trade and, Cultural Cooperation was
1988	cultural and scientific fields registered further progress. During the year, Japan's Offici al Development Assistance (ODA) to India was to the tune of Yen 87.9 billion which made her the largest bilateral donor to India in gross terms. President and Smt. Venkataraman, accompanied by the Minister for External Affairs represented India
1988	Chukha Agreement, India is continuing to purchase PG5 power from Chukha which is surplus to Bhutan's internal requirement. The Royal Government of Bhutan has earned Rs. 30.11 crores from February to October 1988 by the sale of surplus power to India. A long-term agreement on purchase of power is under finalisation. Discussions are continuing (i) for the implementation of Dungsum (Nanglam) Cement Project in Eastern Bhutan estimated to cost over Rs. 140 crores with the surplus cement production to be purchased by India; (ii) Kurichu 45 MW Hydro-Electric Project at the estimated cost of over Rs. 100 crores; (iii) Gaylegphug Area Development Project at the estimated cost of over Rs. 5 crores. The annual bilateral meeting to discuss the Bhutanese Sixth Plan (1987-92 ) was held in New Delhi in June 1988 at, which progress in the on-going projects and projects for other mutually beneficial projects were discussed. The Khaling Mi ni Hydel Project (0. 6 MW; Rs. 1.9 crores) inaugurated on 8 March 1988 in expected to be handed over to the Royal Government early in 1989 and the Gyetsa Mini Hydel Project (1.5 MW; Rs. 3.84 crores) commissioned in July 1988 is also expected to be handed over to Bhutan early in 1989. Other on-going projects are : Chukha Transmission Line Project (Rs. 18 crores); the River Training Works at Dhoti Khola and Paro (Rs. 1.28 crores); the Taktichu Super Group Drop Project (Rs. 3.7 crores); the Paro Airfield Extension Project (over Rs. 6 crores) and the Broadcasting Station Project (Rs. 5.9 crores). The Bongaingaon-Gaylegphug Transmission Line Project (Rs. 8.55 crores) is expected to be completed by December 1989 and the Thimphu- Paro Sub-transmission and distribution systems project (Rs. 11.5 crores) by 1990. India continues to provide experts and specialists to Bhutan in the fields of forestry, industry, telecommunications, hydel-survey and education etc. In education, India
1988	satisfactorily . India remained in close touch with the Government of Afghanistan on all matters of mutual interest and undertook to provide an assistance of Rs. 10 crores for relief and rehabilitation of the Afghan refugees. Half of this assistance is t o be provided bilaterally and the other half through the UN
1988	in the railway sector especially, the upgradation of some railway workshops and intra-city traffic movement. Japan's Official Development Assistance (ODA) to India was Yen 87.9 billion. This was a 25 per cent increase over the previous year's and made Jap an the largest bilateral donor to India in gross terms. In
1988	signed during the visit. PG23 India's relations with Sudan, Somalia and Djibouti in the Horn of Africa remain friendly. India sent relief assistance amounting to Rupees five lakhs t o Sudan in the wake of severe floods in the Blue Nile basin in August 1988. The Foreign Minister of Djibouti visited India in
1988	the Movement of Non-aligned countries in Harare in September 1986, has so far received pledges in cash, kind and project assistanc e equivalent to US $ 413 million from 52 countries the world over. The actual cash contributions received by the Fund are approaching US $ 1 million. After launching the appeal, contributions were received from individuals as well as organizations in India. A society called AFRICA (Public Contri- butions-India) Fund to manage these contributions in Indian Rupees was set PG30 up. The Society has received contributions totalling Rs. 2.36 crores including Rs. 1 crore each presented by Coal India and the State Bank of India to the Pri me Minister on Dec 10, 1988; the 40th Anniversary of the Human Rights Day. Out of the contributions received by the Society, medicines worth Rs. 25 lakhs have been supplied to Mozambique. India had, at the AFRICA Fund Summit of January 1987, announced a contribution of Rs. 50 crores spread over a period of three years. For this, s everal projects have been selected. Out of the identified projects, material supplies have been arranged
1988	Indian universities. Zimbabwe has received a supply of tarpaulins. Transport vehicles, ambulances, X-ray machine s and an electric generator have been sent to SWAPO. One hundred railway wagons for delivery to Zambia are currently being manufactured and would be shipped by February/March 1989. Software for the Mozambican Railway Protection Force and
1988	opinion and additional financial resou rces. Among the important results of the meeting was a decision to donate a modest but symbolic sum of US $ 50,000 to the International Conference on the Plight of Refugees, Returnees and Displaced Persons in Southern Africa held under UN and OAU auspices. In addition,
1988	echno- logies and products. It is expected that the value of US export licences issued for controlled technology items in 1988 would be close to US$ 1 billion. The Cray XMP-14 Super Computer was received in India in October 1988 and has been installed at the National Centre for Medium Range Weather Fore-
1988	relating to GATT, UNCTAD and ESCAP. Administrative and Budgetary Matters The Fifth Committee agreed to by consensus on a revised estimate of US 8 865.1 million for the United Nations regular budget for 1989. Since 1946, it w as the first time that the budget of the organization as a whole
1988	the administrative and financial refo rms in the organization including agreement by consensus in the Fifth Committee on the preliminary estimate of 1990-91 budget at US$ 1767 million (at 1988 rates) and its recommendation to address further in 1989 the question of settin g up a reserve to deal with additional expenditures due
1988	the beneficiary countries necessitating progressively high er financial commitment year after year. The ITEC Programme when first launched in 1964 had a modest outlay of Rs. 4.6 crores; during 1988-89 it crossed the mark of Rs. 20 crores, excluding expenditure on similar activities in respect o f Bangladesh, Sri Lanka, Nepal, Bhutan and Maldives. The major components of the Programme, which has so
1988	to complete Phase III of the prestigious Angkor Vat Restoration Project. Order was placed for the supply of 4 Patrol Boats to Mauritius worth over Rs. 2 crores, apart from taking in band of fresh proposals from a number of friendly countries, including the Philippines, Laos and Afghanistan. Deputation of Experts At the
1988	to famine affected countries of Africa. The Government of Yemen Arab Republic was supplied with 200 tonnes of improved wheat seeds at the cost of Rs. 12 lakhs and Vietnam gifted with forage seeds of a number of plants. To Afghanistan medicines worth Rs. 20 lakh s per annum. continued and several feasibility studies and techno-economic survey s were either completed or proposals mooted in respect of Mauritius, Vietnam and others
1988	on Ice, the Soviet Circus and leading theatre, dance and puppet groups whose performances were organised in major cities in India. An amount of approximately Rs. 2.3 crores, representing the sale proceeds of the programmes was collected for the Prime Minister's National Relief Fund. PG84 The closing events of the Festival of India in the USSR included the parti - cipation of the leading Indian musicians and choreographers including Pandit Ravi Shankar, Dr L.N. Subramaniam and Shrimati Kumudini Lakhia. Mr Zubin Mehta conductor of New York Philharmonic Orchestra, conducted the USSR State Symphony Orchestra as a guest conductor during the closing phase of the
1988	his group along with the Pikaski Orchestra; (iii) Dr L.N. Subramaniam playing his compositions with Fedoseev Symphony Orchestra; and (iv) Dance choreography by Shrimati Kumudini Lakhia performed by the Kadamb Group of Ahmedabad with the dancers and musicians of the Bakhor group of Uzbekistan. Apart from the Soviet Festival in India,
1988	DPRK, China and Thailand (3 to 23 April 1988) 2. Ms Sanjukta Panigrahi (Odissi) Indonesia (June 1988) 3. 15 Member Kadamb group of Ms Kumudini Lakhia Mongolia (13 to 23 Jul1y 1988)(Kathak). 4. 7 Member Composite troupe of Afghanistan (i) Shri Kashinath Bodas (Vocal) (11 to 20 August 1988) (ii) Shri
1988	Ramanand Sagar's Ramayana were sent to the Indian Cultural Centres in Suva and Port Louis. On behalf of the Ministry of External Affairs, books worth Rs. 50,000 were supplied to each of the Indian Missions in Baharain and Qatar for presenta - tion to the Indian school in Baharain and the
1988	Centre for Asian, African and Caribb ean Studies at the University of Carabobo at Valencia in Venezuela and various universities in Chile. Musical instruments worth Rs. 68,000 approximately have also been supplied to Missions abroad for presentation to various institut ions/ associations. Folios containing drawings of eminent Indian artistes have also
1988	the Federal Republic of Germany concerning Financial Cooperation 21-3-1988 21-3-1988 Japan 33. Exchange of Notes between India and Japan regar- ding Grant Assistance of 600 Million Yen for incre- asing Food Production 21-4-1988 21-4-1988 (1) (2) (3) (4) (5) 34. Exchange of Notes between India and Japan regard- ing Grant Assistance of 911 Million Yen for the Fisheries Resources Survey Project 21-4-1988 21-4-1988 35. Exchange of Notes between India and Japan regard- ing Grant Assistance of 371 Million Yen for imp- rovement of Training and Testing Equipment of the Farm Machinery Institutes 21-4-1988 21-4-1988 36. Exchange of Notes between India and Japan regard- ing Grant Assistance of 508 Million Yen for imp- rovement of Medical Equipment of Regional Cancer Centres 21-4-1988 21-4-1988 37. Exchange of Notes between India and Japan regard- ing Debt Relief Grant Assistance of 1254 Million Yen Nepal 18-2-1988 18-2-1988 38. Exchange of Letters Amending the Agreement bet- ween the Government of India and His Majesty's Government of Nepal for the
1988	Items 986.00 Aid to other countries Aid to Bangladesh 81.00 Aid to Bhutan 7938.00 Aid to Nepal 1732.00 Aid to other developing 2959.00 countries (including Rs. 18.63 crores to SriLanka and Rs. 3.96 crores to Maldives) ITEC Programmes 1888.00 Aid under AFRICA Fund 1666.00 Total Revenue Expenditure 1988-89 42,830.00 Appendix-XII Expenditure on Indian Missions/Posts Abroad an 01, 1988 APPENDIX
1980	direct its nuclear pro- grammes solely towards peaceful purposes. The even tenor of Indo-Sri Lanka relations continued un- affected through the year. India granted a Rs. 10 crore government to government credit to Sri Lanka. Mutual exchange of visits and growing commercial and cultural ex- changes took place. However, the resolution of the
1980	also the deputation of experts, grant of credits and provision for meeting requirements of essential commodities. In the West Asia region, during the year some Rs. 2,000, crores worth of projects were allocated to Indian concerns. TOP INDIA'S NEIGHBOURS CHAPTER I INDIA'S NEIGHBOURS India having close and friendly relations with Afghanistan, was seriously
1980	years. During the same visit a Memo- randum of Understanding between India and Bangladesh was also signed by which the value ceiling of Taka 25 crores on the export of Wet Blue Leather to India was raised to Taka 40 crores and India agreed to buy urea fertiliser upto a quantity of 1 lakh tons and to consider import of certain categories of drugs, furnace oil; Jamdani sarees and handicrafts. Bangladesh re- quested the supply of steam-coal during 1980-81,
1980	was signed with Nepal for the construction of a micro-wave link between Birganj and Raxaul. Under the agreement, technical and material assistance amount- ing to Rs. 1.2 million is to be offered to the Government of Nepal. The link will make 36 channels available for communi- cations between Nepal and India. Mr. Jagdish
1980	and stable basis. India continued to assist in the implementation of develop- ment programmes in Nepal. The outlay of Indian assistance to Nepal totalled approximately Rs. 14 crores for 1980-81. A major portion of this assistance was earmarked for ongoing pro- jects like the Devighat Hydro-electric Project and the East West Highway (Central
1980	countries, being constructed with Indian financial assistance is expected to be completed during the coming years. India made available to Sri Lanka, further credit of Rs. 100 million. The credit is to be utilised by Sri Lanka to purchase from India, motor spares, trans- port equipment, railway equipment and spares, amongst other items.
1980	economic co-operation. In August a credit agreement was signed between the Industrial Development Bank of India under which the bank would give a credit of Rs. 150 million to Vietnam machinery from India. In September a rice loan agreemnet was concluded under which India would make avail- able to Vietnam a loan of
1980	donated 3,000 tons of rice on bilateral basis and 2,000 tons of rice through the UNICEF to Kampuchea, besides giving as gift stationery material worth Rs. 2.5 lakhs. India continued to maintain close ties with Lao People's Democratic Republic. The Deputy Prime Minister and Foreign Minister of Laos, Mr. Phoune Sipasouth, paid a
1980	Iraq to Indian companies. There were a number of major contracts both in private and public sector. The total value of Indian projects rose from Rs. 400 crores at the end of 1979 to Rs. 1800 crores by the end of 1980. India's growing co-operation with the countries in the Gulf gained momentum following the realisation by them of mutual, benefit in
1980	to make good the shortfall in India's crude imports caused by the Iran- Iraq was. The UAE agreed to increase its normal supply of one million tons a year to 1.5 million Was from 1981. Kuwait and Qatar also supplied crude for the first time in response to India's requirements. India's relations with Saudi Arabia showed signs
1980	of the friendly and cordial relation- ship between the two countries. Indian companies are executing 50 projects in Libya of a total value of about Rs. 1,700/- crores. pg23 There are about 40,000 Indian nationals working in Libya in different capacities, including 4,000 experts deputed to various Departments of the Libyan Government. Shri
1980	and Surface Transport of Mozambi- que to India marked closer economic and technical cooperation with that country. India also gifted medicines and rice worth about Rs. 40 lakhs to Mozambique. India welcomed the peaceful transition to democratically elected government in Uganda after more than 8 years of dic- tatorial rule of former President
1980	India expressed its desire to cooperate with the new Government in their task of national rehabilitation and development of their economy. During 1980 around 25 crores of rupees special commercial credits were extended to Uganda by Indian bank- ing institutions. India's traditional friendly relations with Kenya were further strengthened with the visit of
1980	October 1980 for construc- tion of the Ramagundam Super Thermal Power Station located in Andhra Pradesh. The project is partly financed by IDA credit (US dollars 200 million) and IBRD loan (US dollars 50 million). The first meeting of the Indo-Italian representatives under the Cultural Agreement of 1976 took place in 1980 and a 2 year programme of cultural exchanges
1980	number of other visits at official level identified possibilities of closer Indo-Mexican eco- nomic relations in the near future. Mexico also agreed to supply 1.5 million tonnes of oil per annum from January 1981. This was the first such agreement signed by India with a country of Latin America. The President
1980	Under this programme, about 100 experts were deput- ed and about 1200 trainees from various countries underwent specialised courses in India. A sum of approximately Rs. 9 lakhs was made available as India's initial contribution to the Industrial Development Unit of the Commonwealth for pro- grammes connected with industrialisation of developing Com- monwealth countries such as pre-investment studies, identification of projects, preparation of feasibility reports, provision of train- ing facilities and implementation of priority projects. A sum of Rs. 50 lakhs was given to the Economic Commission for Africa under basic grants agreement for projects to be undertaken under economic and technical cooperation programmes among deve-
1980	informa- tion relating to the passports issued. During the first eleven months of the year 1980, the total revenue earned by the passport, offices was Rs. 552.44 lakhs as compared to the revenue of Rs. 528.50 lakhs during 1979. The expenditure in 1980 was Rs. 135.97 lakhs as compared to the expenditure of Rs. 143.19 lakhs in 1979. The exodus of Indian workers to the West Asian and North African regions for employment continued to show an upward trend during 1980.
1980	for Regional Development, Japan, 16 to 20 August 1980. Expenditure met by UNCRD 11. IUCN Commission on Education Meeting, Sweden, 23 to 25 August 1980. Rs. 5,135.00 12. 64th session of International Dairy Federation, Bristol (UK), 7 to 12 September 1980. Expendtiure met by NDDB 13. ESCAP seminar on Agricultural Development
1980	----------------------------------------------- ---------------------------------------------- 1 2 3 4 5 6 ---------------------------------------------- AUSTRIA 30. Agreement between India and Austria on financial Assistance to India for Austrian Schillings 27.651 million 18-7-80 - 18-7-80 - BANGLADESH 31. Trade Agreement between India and Bangladesh 4-10-80 - 4-10-80 - CANADA 32. Agreement between India and Canada for a development loan for an agri- cultural development project 15-3-80 - 15-3-80 - 33. Loan Agreement between India and Canada of C $ 15 million for oil and gas exploration 24-6-80 - 24-6-80 - FRANCE 34. Protocol between India and France regarding the development of Indo- French Industrial and Commercial
1980	Plan of India 5-6-80 - 5-6-80 - 38. Credit Agreement between India and Banque Pe Paris and Banque Francaise Du Commerce Exterieur, Paris, for six hundred million French Francs 6-6-80 - 6-6-80 - 39. Convention between India and Credit National Ltd., Paris, regarding implementation of the Financial Pro- tocol dated 5-6-80. 18-6-80 - 18-6-80 - FEDERAL REPUBLIC OF GERMANY 40. Loan Agreement between India and KREDITANSTALT FUR WIEDER- AUFBAU for DM 35 million 16-1-80 - 16-1-80 - ---------------------------------------------- --------------------------------------------- 1 2 3 4 5 6 ------------------------------------------------ 41. Exchange of Letters between India and Federal Republic of Germany regarding
1980	of Germany concern- ning financial Co-operation in 1980 23-6-80 - 23-6-80 - 46. Loan Agreement between India and KREDITANSTALT FUR WIE- DERAUFBAU for DM 44 million 24-6-80 - 24-6-80 - 47. Loan Agreement between India and KREDITANSTALT FUR WIE- DERAUFBAU for DM 40 million 24-6-80 - 24-6-80 - 48. Second Supplemental Loan Agree- ment pertaining to the Loan Agree- ment dated 27 December, 1977 in the version of the
1980	for DM 10,000,000 (IFCI XVIII) 6-8-80 - 6-8-80 - JAPAN 50. Exchange of Notes between India and Japan for the Grant Aid of Yen 50 million for the purchase of Science Laboratory equipment from Japan by the Archaeological Survey of India 14-1-80 - 14-1-80 - ------------------------------------------- ------------------------------------------- 1 2 3 4 5 6 --------------------------------------------- 51. Loan Agreement between India and Japan for Bombay Off-Shore Oil Field Development Project of Yen 6.2 billion 4-3-80 - 19-3-80 - 52. Loan Agreement between India and Japan for the implementation of Telecommunication Project (II) 8-5-80 - 20-8-80 - 53. Loan Agreement between India and Japan of Yen 8.6 billion for the implementation of the Bombay Off- Shore Oil Field Development Pro- ject (II) 25-7-80 - 21-8-80 - NEPAL 54. Agreement between India and Nepal
1980	of irrigation 3-4-80 - 3-4-80 - UNITED KINGDOM 62. Exchange of N tes between India and United Kingdom regarding Mixed Project Grant for L 70 million 19-3-80 - 19-3-80 - 63. Exchange of Notes between India and United Kingdom regarding local costs Aid Arrangement for L 33,184, 758.14 pense 19-3-80 - 19-3-80 - 64. Exchange of Notes between India and United Kingdom regarding Coal Sector Grant 1980 for L 11 million 19-3-80 - 19-3-80 - UNITED STATES OF AMERICA 65. Agreement between India and United States of America regarding Inte- grated Rural Health and Population Project for US $ 23.7 million 29-8-80 - 29-8-80 - 66. Agreement between India and United States of America regarding Rajas- than Medium irrigation Project for US $ 35 million 21-8-80 - 21-8-80 - THE SOCIALIST REPUBLIC OF VIETNAM 67. Rice Loan Agreement between India and the Socialist Republic of Viet- nam 15-9-80 - 15-9-80
1979	to the Secretary-General of the United Nations, compiled by a body of internationally acknow- ledged eminent persons, has estimated that the world devotes roughly US $ 450 billion for the arms race against a mere US $ 20 billion for aid and investment to combat the age-old ills of poverty, disease and hunger, which afflict the overwhelming portion of humanity. This finding dramatically reflects
1979	pay an official visit to India in March 1980. India continued to extend financial and technical assistance for development programmes in Nepal. An amount of Rs. 14.60 crores was earmarked for meeting expenditure on schemes in hand during the current year. The major projects for which assistance was extended are the Central Sector
1979	road will be completed during the current financial year. An Agreement for the expan- sion of the Paropkar Hospital in Nepal was signed under which Rs. 17.65 lakhs was given to the authorities for carrying out pg5 the work which is expected to be completed in 1981. Letters concerning Indian assistance were also
1979	important and significant role in Bhutan's developmental activities for the past two decades or so. Three Five-Year Plans from 1961 onwards, involving an outlay of Rs. 76.50 crores, have been successfully implemented with Indian assistance. These development plans have transform- ed the economy of Bhutan, apart from providing the base for future programmes for her socio-economic progress. Bhutan's Fourth Five-Year Plan, involving Government of India's assist- ance worth Rs. 70.30 crores, is due to be completed in March 1981. pg6 Apart from the Plan expenditure, India is constructing a major Hydro-electric Project at Chukha, which on
1979	with India's assistance, a Cement Project at Penden with an installed capa- city of 300 tonnes per day has been completed at a cost of Rs. 13.50 crores. The project is expected to go into produc- tion soon. India is also implementing a comprehensive Lift Irriga- tion Scheme at Gaylegphug in Southern Bhutan at a cost of Rs. 2.62 crores. It is a turnkey project and, on completion, will provide irrigational facilities for agriculture and allied pur- poses to the inhabitants of the area. Similarly,
1979	through India on two occasions during the year. This provided an opportunity for exchange of views on various problems. India agreed to give textiles worth Rs. 3 lakhs to Laos at the request of that country. A request for setting up of a Buffalo Breeding Centre in Laos is also being processed. The
1979	the one hand and readiness of the Government of Iraq to meet India's oil requirements on the other. Iraq agreed to the supply of 6 million tonnes of crude to India which was 2.5 million tonnes in excess to their earlier commitment. This made up, to some extent, the shortfall in India's imports due to the developments in Iran. The
1979	a long-term basis, was also discussed during these high level visits. The level of India's exports to Algeria increased from a negligible amount to approximately Rupees six to eight crores and projects and consultancy contracts worth Rupees 28 crores are being executed in Algeria by the Indian companies. The Minister of Petroleum, Chemicals and Fertilizers, Shri H. N. Bahuguna, visited Libya from 8 to 10 April 1979 to explore the possibility of Libya supplying oil to India. Libya agreed to supply 2 million tonnes of oil in 1979 and 2.5 million tonnes each in 1980 and 1981. The first shipment of Libyan oil for India was shipped in the third week of April 1979. Shri Sikandar
1979	projects undertaken by the Indian Companies in Libya. Indian companies continued to receive patronage from the Libyan authorities and important contracts and projects worth nearly Rs. 1000 crores were awarded to Indian public and private sector undertakings. It is estimated that nearly 15000 Indians (labour and experts) are currently working in Libya. The
1979	Limited signed their first construction contract in Libya in January 1979, for the con- struction of 28 school buildings in Western Libya valued at US $30 million. Another contract worth about US $60 million for a housing programme was also signed. The second session of the Indo-Libyan Joint Commission was held at New Delhi, from 2 to 6 July
1979	State in the Ministry of External Affairs, Shri S. Kundu, visited Uganda, Zambia, Malawi and Seychelles in May- June 1979. India offered a credit of Rs. 2.5 crores in addition to credit for the Industrial Development Bank of India, of Rs. 5 crores to the new government in Uganda as a measure of assistance towards that country's economic reconstruction. A consignment of medi- cines and rice was also
1979	in connection with the famine in that country. India concluded a cooperation agreement with the Economic Commission for Africa. It provided for a grant of Rs. 50 lakhs to the United Nations Trust Fund for African Development. This was the first such contribution to the Fund by a non-African deve- loping country. Top
1979	Genscher. India continued to be the single largest recipient of West German assistance. An Indo-FRG Aid Agreement for the period 1979-80, for aid amounting to Rs. 165 crores, was signed at New Delhi in October 1979. Some of the major projects covered under this are: the Thermal Power Plant at Singrauli, Neyveli Lignite Corporation and the Agriculture and Refinance Corporation. There was also steady growth in Indo- FRG trade which crossed the figure of DM 2,000 million (about Rs. 800 crores) during the year. Dr. Bruno Kreisky, Chancellor of Austria, visited India at the end of January 1980 to address the UNIDO Conference. His talks with
1979	periodic consul- tations alternately in France and in India to suit mutual conveni- ence. The major allocation for 1979, from French assistance to India of Rs. 68 crores (Francs 300 million) annually, was for the im- port of drilling rig by the Oil and Natural Gas Commission. pg30 A French delegation visited India in November and
1979	during the year. A formal agreement for aid from the Netherlands was con- cluded during the year. It provided for a grant of Dfl. 61 million and a loan of Dfl. 164 million for a period of 30 years carrying an interest of 2.5% per annum. India continued to receive useful assistance from the countries of the Nordic region. Sweden extended aid to the extent of S. Kr. 290 million entirely as a grant for 1979-80. Of this amount S. Kr. 165 million would be completely untied and to be used for financ- ing; imports from any part of the world. Discussions held in October with Norway indicated that during the next four year (1980-83) technical assistance amounting to Kr. 106 million per year would be extended to India. The Indian Ambassador in Norway held reception in honour of Mother Teresa when she went to Oslo to receive the Nobel Peace Prize. The grant from Denmark of D. Kr. 85 million in 1979 was utilised for projects in agriculture, animal husbandry, fisheries etc. The services of the Danish Agency DANIDA were utilised in several projects. The
1979	would facilitate discussions in the political, economic and cultural fields. An agreement was signed in August, providing for a Cana- dian grant amounting to Canadian $ 20 million, to enable India to import rapeseed oil. A FICCI delegation visited Canada in June 1979. South and Central America India continued to maintain friendly relations
1979	help. Fifty TV and photographic teams visited India for making documentary films on various subjects relating to our country's culture, history and democratic institutions. One hundred Indian journalists, who went abroad, were assisted by the External Publicity Division. (ii) Audio Visual Publicity Publicity through documentary and feature films has always been an effective medium. Eight hundred prints of 45 docu- mentary films were supplied to 110 Indian missions abroad. Four prints of a colour documentary "Where Centuries Co- Exist" were ordered
1979	induction of computerised methods in respect of storage/retrieval of factual information relating to passports issued. In 1979 the total revenue earned by Passport Offices was Rs. 528.50 lakhs as compared to a revenue of Rs. 483.56 lakhs in 1978. The expenditure in 1979 was Rs. 143.19 lakhs as compared to Rs. 145.03 lakhs in 1978. The exodus of Indian workers to the countries of West Asia and North Africa for employment continued unabated during the year. Various steps
